,Year,Month,Day,Ice_Extent
1,1978,10,26,10.231
2,1978,10,28,10.42
3,1978,10,30,10.557
4,1978,11,1,10.67
5,1978,11,3,10.777
6,1978,11,5,10.968
7,1978,11,7,11.08
8,1978,11,9,11.189
9,1978,11,11,11.314
10,1978,11,13,11.46
11,1978,11,15,11.539
12,1978,11,17,11.696
13,1978,11,19,11.87
14,1978,11,21,12.053
15,1978,11,23,12.274
16,1978,11,25,12.441
17,1978,11,27,12.662
18,1978,11,29,12.684
19,1978,12,1,12.725
20,1978,12,3,12.66
21,1978,12,5,12.785
22,1978,12,7,13.051
23,1978,12,9,13.143
24,1978,12,11,13.437
25,1978,12,13,13.603
26,1978,12,15,13.649
27,1978,12,17,13.807
28,1978,12,19,13.892
29,1978,12,21,13.996
30,1978,12,23,14.189
31,1978,12,25,14.268
32,1978,12,27,14.383
33,1978,12,29,14.5
34,1978,12,31,14.585
35,1979,1,2,14.997
36,1979,1,4,14.922
37,1979,1,6,14.929
38,1979,1,8,14.968
39,1979,1,10,15.19
40,1979,1,12,15.327
41,1979,1,14,15.352
42,1979,1,16,15.5
43,1979,1,18,15.517
44,1979,1,20,15.709
45,1979,1,22,15.679
46,1979,1,24,15.745
47,1979,1,26,15.686
48,1979,1,28,15.777
49,1979,1,30,15.912
50,1979,2,1,15.857
51,1979,2,3,15.839
52,1979,2,5,15.831
53,1979,2,7,15.801
54,1979,2,9,15.99
55,1979,2,11,16.099
56,1979,2,13,16.289
57,1979,2,15,16.323
58,1979,2,17,16.343
59,1979,2,19,16.291
60,1979,2,21,16.26
61,1979,2,23,16.401
62,1979,2,25,16.579
63,1979,2,27,16.551
64,1979,3,1,16.635
65,1979,3,3,16.457
66,1979,3,5,16.568
67,1979,3,7,16.547
68,1979,3,9,16.536
69,1979,3,11,16.513
70,1979,3,13,16.414
71,1979,3,15,16.31
72,1979,3,17,16.467
73,1979,3,19,16.505
74,1979,3,21,16.349
75,1979,3,23,16.279
76,1979,3,25,16.264
77,1979,3,27,16.06
78,1979,3,29,15.763
79,1979,3,31,15.804
80,1979,4,2,15.66
81,1979,4,4,15.641
82,1979,4,6,15.695
83,1979,4,8,15.794
84,1979,4,10,15.761
85,1979,4,12,15.655
86,1979,4,14,15.5
87,1979,4,16,15.454
88,1979,4,18,15.51
89,1979,4,20,15.343
90,1979,4,22,15.255
91,1979,4,24,15.224
92,1979,4,26,15.141
93,1979,4,28,15.108
94,1979,4,30,14.961
95,1979,5,2,14.626
96,1979,5,4,14.498
97,1979,5,6,14.45
98,1979,5,8,14.325
99,1979,5,10,14.149
100,1979,5,12,14.012
101,1979,5,14,13.836
102,1979,5,16,13.862
103,1979,5,18,13.691
104,1979,5,20,13.56
105,1979,5,22,13.529
106,1979,5,24,13.364
107,1979,5,26,13.399
108,1979,5,28,13.292
109,1979,5,30,13.26
110,1979,6,1,13.076
111,1979,6,3,12.977
112,1979,6,5,12.832
113,1979,6,7,12.791
114,1979,6,9,12.854
115,1979,6,11,12.733
116,1979,6,13,12.673
117,1979,6,15,12.548
118,1979,6,17,12.517
119,1979,6,19,12.415
120,1979,6,21,12.373
121,1979,6,23,12.243
122,1979,6,25,12.112
123,1979,6,27,11.977
124,1979,6,29,11.829
125,1979,7,1,11.562
126,1979,7,3,11.363
127,1979,7,5,11.255
128,1979,7,7,10.936
129,1979,7,9,10.793
130,1979,7,11,10.662
131,1979,7,13,10.503
132,1979,7,15,10.401
133,1979,7,17,10.256
134,1979,7,19,9.927
135,1979,7,21,9.919
136,1979,7,23,9.668
137,1979,7,25,9.614
138,1979,7,27,9.556
139,1979,7,29,9.342
140,1979,7,31,9.223
141,1979,8,2,9
142,1979,8,4,8.859
143,1979,8,6,8.744
144,1979,8,8,8.61
145,1979,8,10,8.328
146,1979,8,12,8.284
147,1979,8,14,8.138
148,1979,8,16,7.971
149,1979,8,18,7.811
150,1979,8,20,7.659
151,1979,8,22,7.566
152,1979,8,24,7.577
153,1979,8,26,7.421
154,1979,8,28,7.364
155,1979,8,30,7.284
156,1979,9,1,7.228
157,1979,9,3,7.147
158,1979,9,5,7.037
159,1979,9,7,7.075
160,1979,9,9,7.092
161,1979,9,11,6.981
162,1979,9,13,7.003
163,1979,9,15,7.007
164,1979,9,17,7.001
165,1979,9,19,6.91
166,1979,9,21,6.895
167,1979,9,23,7.033
168,1979,9,25,7.058
169,1979,9,27,7.127
170,1979,9,29,7.173
171,1979,10,1,7.404
172,1979,10,3,7.534
173,1979,10,5,7.813
174,1979,10,7,7.878
175,1979,10,9,8.115
176,1979,10,11,8.136
177,1979,10,13,8.338
178,1979,10,15,8.57
179,1979,10,17,8.938
180,1979,10,19,9.19
181,1979,10,21,9.295
182,1979,10,23,9.466
183,1979,10,25,9.7
184,1979,10,27,9.869
185,1979,10,29,9.797
186,1979,10,31,9.924
187,1979,11,2,10.144
188,1979,11,4,10.159
189,1979,11,6,10.267
190,1979,11,8,10.27
191,1979,11,10,10.497
192,1979,11,12,10.61
193,1979,11,14,10.8
194,1979,11,16,10.92
195,1979,11,18,11.01
196,1979,11,20,11.157
197,1979,11,22,11.352
198,1979,11,24,11.419
199,1979,11,26,11.581
200,1979,11,28,11.884
201,1979,11,30,12.076
202,1979,12,2,12.39
203,1979,12,4,12.462
204,1979,12,6,12.781
205,1979,12,8,12.991
206,1979,12,10,13.101
207,1979,12,12,13.292
208,1979,12,14,13.268
209,1979,12,16,13.322
210,1979,12,18,13.377
211,1979,12,20,13.541
212,1979,12,22,13.619
213,1979,12,24,13.773
214,1979,12,26,13.934
215,1979,12,28,14.101
216,1979,12,30,14.092
217,1980,1,1,14.2
218,1980,1,3,14.302
219,1980,1,5,14.414
220,1980,1,7,14.518
221,1980,1,9,14.594
222,1980,1,11,14.665
223,1980,1,13,14.771
224,1980,1,15,14.831
225,1980,1,17,14.957
226,1980,1,19,15.12
227,1980,1,21,15.141
228,1980,1,23,15.195
229,1980,1,25,15.209
230,1980,1,27,15.124
231,1980,1,29,15.258
232,1980,1,31,15.491
233,1980,2,2,15.401
234,1980,2,4,15.639
235,1980,2,6,15.76
236,1980,2,8,15.888
237,1980,2,10,15.895
238,1980,2,12,15.97
239,1980,2,14,16.017
240,1980,2,16,16.095
241,1980,2,18,16.095
242,1980,2,20,16.17
243,1980,2,22,16.066
244,1980,2,24,16.087
245,1980,2,26,16.069
246,1980,2,28,16.22
247,1980,3,1,16.157
248,1980,3,3,16.248
249,1980,3,5,16.302
250,1980,3,7,16.289
251,1980,3,9,16.168
252,1980,3,11,16.04
253,1980,3,13,15.966
254,1980,3,15,15.994
255,1980,3,17,15.988
256,1980,3,19,16.005
257,1980,3,21,15.946
258,1980,3,23,15.945
259,1980,3,25,15.923
260,1980,3,27,15.986
261,1980,3,29,15.891
262,1980,3,31,15.813
263,1980,4,2,15.681
264,1980,4,4,15.664
265,1980,4,6,15.707
266,1980,4,8,15.653
267,1980,4,10,15.644
268,1980,4,12,15.652
269,1980,4,14,15.523
270,1980,4,16,15.509
271,1980,4,18,15.39
272,1980,4,20,15.376
273,1980,4,22,15.406
274,1980,4,24,15.259
275,1980,4,26,15.117
276,1980,4,28,14.996
277,1980,4,30,14.859
278,1980,5,2,14.718
279,1980,5,4,14.549
280,1980,5,6,14.412
281,1980,5,8,14.32
282,1980,5,10,14.186
283,1980,5,12,14.011
284,1980,5,14,13.843
285,1980,5,16,13.757
286,1980,5,18,13.672
287,1980,5,20,13.531
288,1980,5,22,13.405
289,1980,5,24,13.34
290,1980,5,26,13.206
291,1980,5,28,13.023
292,1980,5,30,12.916
293,1980,6,1,12.766
294,1980,6,3,12.706
295,1980,6,5,12.614
296,1980,6,7,12.61
297,1980,6,9,12.586
298,1980,6,11,12.468
299,1980,6,13,12.278
300,1980,6,15,12.269
301,1980,6,17,12.13
302,1980,6,19,12.043
303,1980,6,21,12.007
304,1980,6,23,11.842
305,1980,6,25,11.699
306,1980,6,27,11.585
307,1980,6,29,11.466
308,1980,7,1,11.283
309,1980,7,3,11.075
310,1980,7,5,10.983
311,1980,7,7,10.852
312,1980,7,9,10.7
313,1980,7,11,10.575
314,1980,7,13,10.307
315,1980,7,15,10.203
316,1980,7,17,9.946
317,1980,7,19,9.847
318,1980,7,21,9.779
319,1980,7,23,9.594
320,1980,7,25,9.358
321,1980,7,27,9.166
322,1980,7,29,9.065
323,1980,7,31,8.868
324,1980,8,2,8.76
325,1980,8,4,8.611
326,1980,8,6,8.548
327,1980,8,8,8.348
328,1980,8,10,8.202
329,1980,8,12,8.041
330,1980,8,14,7.82
331,1980,8,16,7.765
332,1980,8,18,7.761
333,1980,8,20,7.717
334,1980,8,22,7.758
335,1980,8,24,7.578
336,1980,8,26,7.667
337,1980,8,28,7.588
338,1980,8,30,7.6
339,1980,9,1,7.544
340,1980,9,3,7.555
341,1980,9,5,7.533
342,1980,9,7,7.574
343,1980,9,9,7.56
344,1980,9,11,7.557
345,1980,9,13,7.543
346,1980,9,15,7.602
347,1980,9,17,7.58
348,1980,9,19,7.651
349,1980,9,21,7.686
350,1980,9,23,7.782
351,1980,9,25,7.854
352,1980,9,27,7.966
353,1980,9,29,8.019
354,1980,10,1,8.223
355,1980,10,3,8.213
356,1980,10,5,8.485
357,1980,10,7,8.532
358,1980,10,9,8.809
359,1980,10,11,8.975
360,1980,10,13,9.161
361,1980,10,15,9.218
362,1980,10,17,9.272
363,1980,10,19,9.389
364,1980,10,21,9.468
365,1980,10,23,9.586
366,1980,10,25,9.643
367,1980,10,27,9.841
368,1980,10,29,9.911
369,1980,10,31,10.198
370,1980,11,2,10.42
371,1980,11,4,10.523
372,1980,11,6,10.652
373,1980,11,8,10.789
374,1980,11,10,10.88
375,1980,11,12,10.976
376,1980,11,14,11.087
377,1980,11,16,11.217
378,1980,11,18,11.337
379,1980,11,20,11.628
